# First line: number of layers
11
# One line per layer:
# Thickness(m), Vp (m/s), Vs (m/s) and density (kg/m3)
34.071311354637146 1194.6746846524902 626.539409160614 1152.295899088797
217.86589920520782 3316.597688522762 1739.368200302124 1831.311260327284
10.68948209285736 4754.784757805055 2493.6161041259766 2291.531122497617
19.870594143867493 5212.866850203 2733.854293823242 2438.1173920649603
97.29886054992676 5300.388846753776 2779.754638671875 2466.124430961209
171.60296440124512 5322.037493521634 2791.1081314086914 2473.0519979269234
84.90374684333801 5293.287799661925 2776.0305404663086 2463.8520958918166
57.452261447906494 5030.982302966294 2638.4661197662354 2379.9143369492135
75.0984251499176 4834.200104436377 2535.2649688720703 2316.9440334196406
97.92974591255188 4798.379367909149 2516.479015350342 2305.4813977309277
0.0 3990.4934221142694 2092.7884578704834 2046.9578950765665
# Last line is the half-space, its thickness is ignored but the first column is still mandatory
